Asia Plastic Consumption,,,,,,,,
Economy_Label,Product_Label,Year,Metric_tons_in_thousands_Value,US_dollars_at_current_prices_in_thousands_Value,ABS,,,
Asia,Plastic packaging,2001,4151,9158590,25790971.76,,,
Asia,Plastic packaging,2002,5008,10030706,24918855.76,,,
Asia,Plastic packaging,2003,5743,11996576,22952985.76,,,
Asia,Plastic packaging,2004,6338,15292225,19657336.76,,,
Asia,Plastic packaging,2005,7100,18437074,16512487.76,,,
Asia,Plastic packaging,2006,8018,21390361,13559200.76,,,
Asia,Plastic packaging,2007,8317,24877591,10071970.76,,,
Asia,Plastic packaging,2008,8376,28540272,6409289.76,,,
Asia,Plastic packaging,2009,7748,25214768,9734793.76,,,
Asia,Plastic packaging,2010,9164,33669389,1280172.76,,,
Asia,Plastic packaging,2011,10240,40705367,5755805.24,,,
Asia,Plastic packaging,2012,10132,42593716,7644154.24,,,
Asia,Plastic packaging,2013,11845,45935846,10986284.24,,,
Asia,Plastic packaging,2014,11580,46952028,12002466.24,,,
Asia,Plastic packaging,2015,11207,44454940,9505378.24,,,
Asia,Plastic packaging,2016,10723,43317841,8368279.24,,,
Asia,Plastic packaging,2017,12830,47209699,12260137.24,,,
Asia,Plastic packaging,2018,13487,51473064,16523502.24,,,
Asia,Plastic packaging,2019,13380,52596578,17647016.24,,,
Asia,Plastic packaging,2020,14006,55467014,20517452.24,,,
Asia,Plastic packaging,2021,15773,64627152,29677590.24,,,
,,,Arithmetic mean=>,36697039.85,,,,
,,,median=> ,40705367,,,,
,,,Mode=>,#N/A,,,,
,,,Max Value=>,64627152,,,,
,,,Min Value=>,9158590,,,,
,,,Range=>,55468562,Q1,Q2,Q3,
,,,Quartile deviation=> ,(Q3-Q1)/2,21390361,40705367,46952028,
,,,Quartile deviation=> ,12780833.5,,,,
,,,Average ,34949561.76,,,,
,,,Mean Absolute Deviation=> ,14370291.96,,,,
,,,Standard Deviation=>,16504539.8,,,,
,,,,,,,,
,,,,,,,,
Africa Plastic Consumption,,,,,,,,
Economy_Label,Product_Label,Year,Metric_tons_in_thousands_Value,US_dollars_at_current_prices_in_thousands_Value,ABS,,,
Africa,Plastic packaging,2001,148,158945,644611.6667,,,
Africa,Plastic packaging,2002,112,156735,646821.6667,,,
Africa,Plastic packaging,2003,167,197444,606112.6667,,,
Africa,Plastic packaging,2004,210,234770,568786.6667,,,
Africa,Plastic packaging,2005,244,306868,496688.6667,,,
Africa,Plastic packaging,2006,151,326155,477401.6667,,,
Africa,Plastic packaging,2007,196,489726,313830.6667,,,
Africa,Plastic packaging,2008,225,619594,183962.6667,,,
Africa,Plastic packaging,2009,270,666802,136754.6667,,,
Africa,Plastic packaging,2010,386,1095617,292060.3333,,,
Africa,Plastic packaging,2011,436,982728,179171.3333,,,
Africa,Plastic packaging,2012,611,1008263,204706.3333,,,
Africa,Plastic packaging,2013,539,1264690,461133.3333,,,
Africa,Plastic packaging,2014,503,1151889,348332.3333,,,
Africa,Plastic packaging,2015,510,1168417,364860.3333,,,
Africa,Plastic packaging,2016,569,1249783,446226.3333,,,
Africa,Plastic packaging,2017,685,1159847,356290.3333,,,
Africa,Plastic packaging,2018,552,1188544,384987.3333,,,
Africa,Plastic packaging,2019,537,1194811,391254.3333,,,
Africa,Plastic packaging,2020,328,966802,163245.3333,,,
Africa,Plastic packaging,2021,464,1286260,482703.3333,,,
,,,Arithmetic mean=>,843734.5,,,,
,,,median=> ,982728,,,,
,,,Mode=>,#N/A,,,,
,,,Max Value=>,1286260,,,,
,,,Min Value=>,156735,,,,
,,,Range=>,1129525,,,,
,,,Quartile deviation=> ,(Q3-Q1)/2,Q1,Q2,Q3,
,,,Quartile deviation=> ,421131,326155,982728,1168417,
,,,Average ,803556.6667,,,,
,,,Mean Absolute Deviation=> ,388092.4762,,,,
,,,Standard Deviation =>,428010.2384,,,,
